Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
RG Aggro,Bertrand Lestrée,Standard,Worlds 1994 (Milwaukee) *,,2,01/08/94,20.0,12.0,20.0,8.0,0.0,,,,
Wug Control,Zak Dolan,Standard,Worlds 1994 (Milwaukee) *,,1,01/08/94,15.0,11.0,15.0,19.0,0.0,,,,
Zoo,Dominic Symens,Standard,Worlds 1994 (Milwaukee) *,,3-4,01/08/94,16.0,12.0,19.0,13.0,0.0,,,,
Zoo,Cyrille de Foucaud,Standard,Worlds 1994 (Milwaukee) *,,3-4,01/08/94,23.0,16.0,20.0,7.0,0.0,,,,
Rack Control,Alexander Blumke,Standard,Worlds 1995 (Seattle) *,,1,01/08/95,25.0,6.0,18.0,14.0,0.0,,,,
WR Control,Marc Hernandez,Standard,Worlds 1995 (Seattle) *,,2,01/08/95,20.0,,15.0,27.0,0.0,,,,
RG Control,Henry Stern,Standard,Worlds 1995 (Seattle) *,,3-4,01/08/95,24.0,10.0,15.0,14.0,0.0,,,,
(Sideboard B),Henri Schildt,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,,,,60.0,0.0,,,,
(Sideboard C),Mu Luen Wang,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,,,,60.0,0.0,,,,
Selesnya Aggro,Ivan Curina,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,20.0,24.0,11.0,7.0,0.0,,,,
(Red Artifact Control),Mark Justice,Standard,Worlds 1995 (Seattle) *,,3-4,01/08/95,,,,60.0,0.0,,,,
Pre-Sligh,Andrea Redi,Standard,Worlds 1995 (Seattle) *,,5-8,01/08/95,22.0,11.0,16.0,11.0,0.0,,,,
Blueless Weenie White,Tom Chanpheng,Standard,Worlds 1996 (Seattle),,1,14/08/96,24.0,20.0,13.0,3.0,0.0,,,,
Erhnam Gueddon,Olle Råde,Standard,Worlds 1996 (Seattle),,3-4,14/08/96,21.0,22.0,16.0,2.0,0.0,,,,
Stasis !,Tommi Hovi,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,24.0,,19.0,17.0,0.0,,,,
Mono B Nevinyrral's Necro,Henry Stern,Standard,Worlds 1996 (Seattle),,3-4,14/08/96,26.0,10.0,13.0,11.0,0.0,,,,
Br Nevinyrral's Necro,Mark Justice,Standard,Worlds 1996 (Seattle),,2,14/08/96,25.0,9.0,15.0,11.0,0.0,,,,
Erhnam-geddon,Matt Place,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,23.0,10.0,13.0,14.0,0.0,,,,
Mono B Nevinyrral's Necro,Scott Johns,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,24.0,10.0,18.0,9.0,0.0,,,,
RG Ponza,Eric Tam,Standard,Worlds 1996 (Seattle),,5-8,14/08/96,26.0,7.0,20.0,7.0,0.0,,,,
Black Five,Jakub Slemr,Standard,Worlds 1997 (Seattle) *,,1,17/08/97,22.0,25.0,14.0,,0.0,,,,
URw Aggro,Janosch Kuhn,Standard,Worlds 1997 (Seattle) *,,2,17/08/97,22.0,8.0,30.0,,0.0,,,,
Stompy,Svend Sparre Geertsen,Standard,Worlds 1997 (Seattle) *,,3-4,17/08/97,18.0,32.0,6.0,4.0,0.0,,,,
UR Control,Paul McCabe,Standard,Worlds 1997 (Seattle) *,,3-4,17/08/97,20.0,18.0,17.0,5.0,0.0,,,,
Beatdown Necro,John Chinnock,Standard,Worlds 1997 (Seattle) *,,5-8,17/08/97,23.0,12.0,18.0,7.0,0.0,,,,
Red Deck Wins,Ju-Neon Kim,Standard,Worlds 1997 (Seattle) *,,Day 1 undefeated,17/08/97,23.0,18.0,14.0,5.0,0.0,,,,
Red Deck Wins,Jeff Donais,Standard,Worlds 1997 (Seattle) *,,Day 1 undefeated,17/08/97,22.0,21.0,17.0,1.0,0.0,,,,
Irish CounterPost,Dave Kearney,Standard,Worlds 1997 (Seattle) *,,Day 1 undefeated,17/08/97,28.0,2.0,29.0,2.0,0.0,,,,
Recurring Survival,Brian Selden,Standard,Worlds 1998 (Seattle),,1,16/08/98,22.0,24.0,4.0,10.0,0.0,,,,
Sligh,Ben Rubin,Standard,Worlds 1998 (Seattle),,2,16/08/98,21.0,21.0,14.0,4.0,0.0,,,,
Weenie White,Brian Hacker,Standard,Worlds 1998 (Seattle),,5-8,16/08/98,17.0,27.0,11.0,5.0,0.0,,,,
Sligh,Jon Finkel,Standard,Worlds 1998 (Seattle),,3-4,16/08/98,22.0,19.0,15.0,4.0,0.0,,,,
Recurring Survival,Alan Comer,Standard,Worlds 1998 (Seattle),,5-8,16/08/98,21.0,24.0,7.0,8.0,0.0,,,,
Recurring Survival,Raphael Levy,Standard,Worlds 1998 (Seattle),,3-4,16/08/98,23.0,24.0,4.0,9.0,0.0,,,,
Recurring Survival,Scott Johns,Standard,Worlds 1998 (Seattle),,5-8,16/08/98,22.0,25.0,6.0,8.0,0.0,,,,
Sligh,Chris Pikula,Standard,Worlds 1998 (Seattle),,5-8,16/08/98,22.0,19.0,15.0,4.0,0.0,,,,
Mono Blue Control,Randy Buehler,Standard,Worlds 1999 (Yokohama),,Day 1 undefeated,08/08/99,28.0,3.0,21.0,8.0,0.0,,,,
Mono Black Midrange,Jakub Slemr,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,22.0,10.0,21.0,7.0,0.0,,,,
Mono Red Land D,Jamie Parke,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,24.0,15.0,17.0,4.0,0.0,,,,
Oath into Thorn Elemental,Xavier Curto,Standard,Worlds 1999 (Yokohama),,Day 1 undefeated,08/08/99,23.0,5.0,19.0,13.0,0.0,,,,
Mono Black Suicide,Antoine Menard,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,20.0,18.0,12.0,10.0,0.0,,,,
Wildfire,Patrick Mello,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,20.0,8.0,4.0,28.0,0.0,,,,
Mono Blue Control,Sigurd Eskeland,Standard,Worlds 1999 (Yokohama),,Other,08/08/99,28.0,3.0,21.0,8.0,0.0,,,,
Mono Green Aggro,Raffaele Lo Moro,Standard,Worlds 1999 (Yokohama),,3-4,08/08/99,20.0,28.0,4.0,8.0,0.0,,,,
Mono Black Midrange,Gary Wise,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,22.0,10.0,21.0,7.0,0.0,,,,
Stompy,Nicolai Herzog,Standard,Worlds 1999 (Yokohama),,5-8,08/08/99,22.0,25.0,5.0,8.0,0.0,,,,
Stompy,Matt Linde,Standard,Worlds 1999 (Yokohama),,3-4,08/08/99,22.0,26.0,4.0,8.0,0.0,,,,
Mono Red Land D,Mark Le Pine,Standard,Worlds 1999 (Yokohama),,2,08/08/99,24.0,15.0,19.0,4.0,0.0,,,,
Wildfire,Kai Budde,Standard,Worlds 1999 (Yokohama),,1,08/08/99,20.0,8.0,4.0,28.0,0.0,,,,
Ice Age.dec,Dominik Hothow,Standard,Worlds 2000 (Brussels),,3-4,06/08/00,24.0,25.0,11.0,,0.0,,,,
Magpie,Helmut Summersberger,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,27.0,9.0,18.0,6.0,0.0,,,,
Trinity,Benedikt Klauser,Standard,Worlds 2000 (Brussels),,3-4,06/08/00,23.0,28.0,4.0,5.0,0.0,,,,
Tinker,Jon Finkel,Standard,Worlds 2000 (Brussels),,1,06/08/00,21.0,9.0,8.0,22.0,0.0,,,,
Angry Non-Hermit,Janosch Kühn,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,24.0,20.0,13.0,3.0,0.0,,,,
Replenish,Tom Van de Logt,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,25.0,,16.0,19.0,0.0,,,,
Chimera,Nicolas Labarre,Standard,Worlds 2000 (Brussels),,5-8,06/08/00,21.0,17.0,5.0,17.0,0.0,,,,
Tinker,Bob Maher,Standard,Worlds 2000 (Brussels),,2,06/08/00,22.0,9.0,7.0,22.0,0.0,,,,
Machinehead,Tom Van de Logt,Standard,Worlds 2001 (Toronto),,1,12/08/01,24.0,18.0,18.0,,0.0,,,,
Merfolk Oppo,Alex Borteh,Standard,Worlds 2001 (Toronto),,2,12/08/01,20.0,20.0,12.0,8.0,0.0,,,,
Nether Go,Antoine Ruel,Standard,Worlds 2001 (Toronto),,3-4,12/08/01,23.0,3.0,32.0,2.0,0.0,,,,
Merfolk Oppo,Andrea Santin,Standard,Worlds 2001 (Toronto),,3-4,12/08/01,22.0,18.0,12.0,8.0,0.0,,,,
RDW,Michael Turian,Standard,Worlds 2001 (Toronto),,5-8,12/08/01,23.0,18.0,11.0,8.0,0.0,,,,
Dark Fires,Jan Tomcani,Standard,Worlds 2001 (Toronto),,5-8,12/08/01,24.0,22.0,6.0,8.0,0.0,,,,
Probe Go,Tommi Hovi,Standard,Worlds 2001 (Toronto),,5-8,12/08/01,24.0,4.0,30.0,2.0,0.0,,,,
Opposition,John Ormerod,Standard,Worlds 2001 (Toronto),,5-8,12/08/01,22.0,18.0,12.0,8.0,0.0,,,,
Machinehead,Joost Vollebregt,Standard,Worlds 2001 (Toronto),,Day 1 undefeated,12/08/01,24.0,18.0,18.0,,0.0,,,,
Fires of Yavimaya,Gert Coeckelbergh,Standard,Worlds 2001 (Toronto),,Day 1 undefeated,12/08/01,24.0,20.0,4.0,12.0,0.0,,,,
Psychatog,Diego Ostrovich,Standard,Worlds 2002 (Sydney),,3-4,18/08/02,24.0,8.0,28.0,,0.0,,,,
Squirrel Oppo,Sim Han How,Standard,Worlds 2002 (Sydney),,5-8,18/08/02,22.0,21.0,10.0,7.0,0.0,,,,
Psychatog,John Larkin,Standard,Worlds 2002 (Sydney),,5-8,18/08/02,24.0,8.0,28.0,,0.0,,,,
Burning Tog,Tuomas Kotiranta,Standard,Worlds 2002 (Sydney),,5-8,18/08/02,24.0,11.0,23.0,2.0,0.0,,,,
Psychatog,Carlos Romão,Standard,Worlds 2002 (Sydney),,1,18/08/02,24.0,8.0,28.0,,0.0,,,,
Psychatog,Dave Humpherys,Standard,Worlds 2002 (Sydney),,3-4,18/08/02,25.0,9.0,26.0,,0.0,,,,
BurningTog,Mark Ziegner,Standard,Worlds 2002 (Sydney),,2,18/08/02,24.0,13.0,23.0,,0.0,,,,
Squirrel Opposition,Ken Krouner,Standard,Worlds 2002 (Sydney),,5-8,18/08/02,21.0,18.0,15.0,6.0,0.0,,,,
Burning Tog,Victor van den Broek,Standard,Worlds 2002 (Sydney),,Day 1 undefeated,18/08/02,24.0,11.0,25.0,,0.0,,,,
Wake,Daniel Zink,Standard,Worlds 2003 (Berlin),,1,10/08/03,27.0,,26.0,7.0,0.0,,,,
Reanimator,Peer Kroger,Standard,Worlds 2003 (Berlin),,5-8,10/08/03,25.0,10.0,25.0,,0.0,,,,
UG Madness,David Humpherys,Standard,Worlds 2003 (Berlin),,3-4,10/08/03,22.0,18.0,20.0,,0.0,,,,
Goblin-Bidding,Wolfgang Eder,Standard,Worlds 2003 (Berlin),,5-8,10/08/03,22.0,32.0,6.0,,0.0,,,,
Astral Slide,Gabe Walls,Standard,Worlds 2003 (Berlin),,5-8,10/08/03,27.0,6.0,20.0,7.0,0.0,,,,
Wake,Jeroen Remie,Standard,Worlds 2003 (Berlin),,5-8,10/08/03,27.0,,26.0,7.0,0.0,,,,
Wake,Tuomo Nieminen,Standard,Worlds 2003 (Berlin),,3-4,10/08/03,26.0,,25.0,9.0,0.0,,,,
Wake,Jin Okamoto,Standard,Worlds 2003 (Berlin),,2,10/08/03,26.0,,27.0,7.0,0.0,,,,
Read the Gob Bidding,"Sylvain Lauriol, 6-0",Standard,Worlds 2003 (Berlin),,Day 1 undefeated,10/08/03,23.0,29.0,8.0,,0.0,,,,
Wake,"Tuomas Kotiranta, 6-0",Standard,Worlds 2003 (Berlin),,Day 1 undefeated,10/08/03,27.0,,27.0,6.0,0.0,,,,
Wake,"Carlos Barrado, 6-0",Standard,Worlds 2003 (Berlin),,Day 1 undefeated,10/08/03,28.0,,25.0,7.0,0.0,,,,
Astral Slide,Julien Nuijten,Standard,Worlds 2004 (San Francisco),,1,05/09/04,25.0,12.0,19.0,4.0,0.0,,,,
Affinity,Aeo Paquette,Standard,Worlds 2004 (San Francisco),,2,05/09/04,18.0,22.0,8.0,12.0,0.0,,,,
Goblins,Ryou Ogura,Standard,Worlds 2004 (San Francisco),,3-4,05/09/04,23.0,33.0,4.0,,0.0,,,,
KCI,Manuel Bevand,Standard,Worlds 2004 (San Francisco),,3-4,05/09/04,19.0,,18.0,23.0,0.0,,,,
Affinity,Kamiel Cornelissen,Standard,Worlds 2004 (San Francisco),,5-8,05/09/04,20.0,24.0,4.0,12.0,0.0,,,,
Astral Slide,Terry Soh,Standard,Worlds 2004 (San Francisco),,5-8,05/09/04,26.0,17.0,10.0,7.0,0.0,,,,
UW Cloudpost,Gabriel Nassif,Standard,Worlds 2004 (San Francisco),,5-8,05/09/04,25.0,5.0,27.0,3.0,0.0,,,,
Affinity,Murray Evans,Standard,Worlds 2004 (San Francisco),,5-8,05/09/04,17.0,20.0,13.0,10.0,0.0,,,,
Tooth and Nail,Sasha Zorc,Standard,Worlds 2004 (San Francisco),,Day 1 undefeated,05/09/04,24.0,10.0,15.0,11.0,0.0,,,,
Astral Slide,Bruno Carvalho ,Standard,Worlds 2004 (San Francisco),,Day 1 undefeated,05/09/04,25.0,10.0,21.0,4.0,0.0,,,,
Big Red,Antoine Ruel,Standard,Worlds 2004 (San Francisco),,Day 1 undefeated,05/09/04,22.0,11.0,22.0,5.0,0.0,,,,
Affinity,Andrei Häyrynen,Standard,Worlds 2004 (San Francisco),,Day 1 undefeated,05/09/04,20.0,21.0,7.0,12.0,0.0,,,,
Ghazi Glare,Katsuhiro Mori,Standard,Worlds 2005 (Yokohama),,1,04/12/05,23.0,24.0,4.0,9.0,0.0,,,,
Greater Gift,Frank Karsten,Standard,Worlds 2005 (Yokohama),,2,04/12/05,23.0,11.0,20.0,6.0,0.0,,,,
Ghazi Glare,Tomohiro Kaji,Standard,Worlds 2005 (Yokohama),,3-4,04/12/05,23.0,23.0,4.0,10.0,0.0,,,,
Enduring Ideal,Akira Asahara,Standard,Worlds 2005 (Yokohama),,3-4,04/12/05,23.0,,17.0,20.0,0.0,,,,
Critical Mass,Ding Leong,Standard,Worlds 2005 (Yokohama),,5-8,04/12/05,23.0,23.0,7.0,7.0,0.0,,,,
UB Control,Marcio Carvalho,Standard,Worlds 2005 (Yokohama),,5-8,04/12/05,25.0,12.0,21.0,2.0,0.0,,,,
Ghazi Glare,Shuhei Nakamura,Standard,Worlds 2005 (Yokohama),,5-8,04/12/05,23.0,25.0,3.0,9.0,0.0,,,,
Bug Critical,André Coimbra,Standard,Worlds 2005 (Yokohama),,5-8,04/12/05,22.0,22.0,10.0,6.0,0.0,,,,
UR Tron,Werner Cloete,Standard,Worlds 2005 (Yokohama),,Day 1 undefeated,04/12/05,24.0,8.0,23.0,5.0,0.0,,,,
Critical Mass,Antoine Ruel,Standard,Worlds 2005 (Yokohama),,Day 1 undefeated,04/12/05,23.0,19.0,11.0,7.0,0.0,,,,
Dragonstorm,Makihito Mihara,Standard,Worlds 2006 (Paris),,1,03/12/06,22.0,6.0,28.0,4.0,0.0,,,,
UWTron,Ryou Ogura,Standard,Worlds 2006 (Paris),,2,03/12/06,23.0,4.0,24.0,9.0,0.0,,,,
Boros,Nicholas Lovett,Standard,Worlds 2006 (Paris),,3-4,03/12/06,21.0,23.0,16.0,,0.0,,,,
Tron Martyr Life,Gabriel Nassif,Standard,Worlds 2006 (Paris),,3-4,03/12/06,24.0,9.0,22.0,5.0,0.0,,,,
Gruul,Paulo Carvalho,Standard,Worlds 2006 (Paris),,5-8,03/12/06,23.0,23.0,10.0,4.0,0.0,,,,
Boros,Paulo Vitor Damo da Rosa,Standard,Worlds 2006 (Paris),,5-8,03/12/06,21.0,23.0,16.0,,0.0,,,,
UWr Control,Tiago Chan,Standard,Worlds 2006 (Paris),,5-8,03/12/06,23.0,10.0,20.0,7.0,0.0,,,,
UWTron,Katsuhiro Mori,Standard,Worlds 2006 (Paris),,5-8,03/12/06,23.0,4.0,24.0,9.0,0.0,,,,
Boros,Willy Edel,Standard,Worlds 2006 (Paris),,Day 1 undefeated,03/12/06,21.0,23.0,16.0,,0.0,,,,
Boros,Tsuyoshi Fujita,Standard,Worlds 2006 (Paris),,Day 1 undefeated,03/12/06,24.0,13.0,19.0,4.0,0.0,,,,
UWTron,Itaru Ishida,Standard,Worlds 2006 (Paris),,Day 1 undefeated,03/12/06,23.0,5.0,22.0,10.0,0.0,,,,
Orzhov,Øyvind Andersen,Standard,Worlds 2006 (Paris),,Day 1 undefeated,03/12/06,22.0,24.0,7.0,7.0,0.0,,,,
Mannequin,Jan Doise,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,26.0,25.0,9.0,,0.0,,,,
Elves!,Katsuhiro Mori,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,23.0,11.0,3.0,0.0,,,,
Tarmo Rack,Saul Aguado,Standard,Worlds 2007 (New York),,,06/12/07,24.0,8.0,18.0,10.0,0.0,,,,
Rock,Sam Stein,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,22.0,23.0,10.0,5.0,0.0,,,,
Mannequin,Soul Alvaredo,Standard,Worlds 2007 (New York),,,06/12/07,25.0,25.0,9.0,1.0,0.0,,,,
Rock,Andrius Jautakis,Standard,Worlds 2007 (New York),,,06/12/07,23.0,20.0,12.0,5.0,0.0,,,,
Sea Stompy,Simon Englund,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,20.0,17.0,,0.0,,,,
ManaRamp,Mikko Nurmi,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,16.0,14.0,7.0,0.0,,,,
Faeries,Hong Fei Yeung,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,28.0,7.0,2.0,0.0,,,,
Elves!,Katsuhiro Mori,Standard,Worlds 2007 (New York),,5-8,06/12/07,23.0,23.0,11.0,3.0,0.0,,,,
Doran Rock,Uri Peleg,Standard,Worlds 2007 (New York),,1,06/12/07,23.0,23.0,10.0,4.0,0.0,,,,
Mannequin,Kotaro Otsuka,Standard,Worlds 2007 (New York),,3-4,06/12/07,24.0,23.0,9.0,4.0,0.0,,,,
Snow ManaRamp,Gerardo Godinez Estrada,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,24.0,12.0,18.0,7.0,0.0,,,,
Rock,Christoph Huber,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,19.0,11.0,7.0,0.0,,,,
Snow ManaRamp,Chris Lachmann,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,24.0,15.0,18.0,3.0,0.0,,,,
Sonic Boom,Kang Jisang,Standard,Worlds 2007 (New York),,,06/12/07,26.0,11.0,23.0,,0.0,,,,
Elves!,Yoshitaka Nakano,Standard,Worlds 2007 (New York),,Day 1 undefeated,06/12/07,23.0,24.0,11.0,2.0,0.0,,,,
Dragonstorm,Patrick Chapin,Standard,Worlds 2007 (New York),,2,06/12/07,24.0,4.0,25.0,7.0,,,,,
Rock,Christoph Huber,Standard,Worlds 2007 (New York),,5-8,06/12/07,23.0,19.0,11.0,7.0,0.0,,,,
Elves!,Yoshitaka Nakano,Standard,Worlds 2007 (New York),,5-8,06/12/07,23.0,24.0,11.0,2.0,0.0,,,,
Rock,Roel van Heeswijk,Standard,Worlds 2007 (New York),,5-8,06/12/07,23.0,23.0,8.0,6.0,0.0,,,,
Dragonstorm,Gabriel Nassif,Standard,Worlds 2007 (New York),,3-4,06/12/07,24.0,4.0,24.0,8.0,0.0,,,,
Sonic Boom,Yujian Zhou,Standard,Worlds 2007 (New York),,,06/12/07,26.0,8.0,26.0,,0.0,,,,
Rock,Celso Zampere Junior,Standard,Worlds 2007 (New York),,,06/12/07,24.0,21.0,11.0,4.0,0.0,,,,
Faeries,Panaiotis Zacharias,Standard,Worlds 2007 (New York),,,06/12/07,24.0,25.0,11.0,,0.0,,,,
Pickles,Adam Yurchick,Standard,Worlds 2007 (New York),,,06/12/07,27.0,12.0,21.0,,0.0,,,,
Rock,Stuart Wright,Standard,Worlds 2007 (New York),,,06/12/07,25.0,11.0,18.0,6.0,0.0,,,,
Dragonstorm,David Williams,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,26.0,7.0,0.0,,,,
Teachings,Guillaume Wafo-Tapa,Standard,Worlds 2007 (New York),,,06/12/07,24.0,6.0,20.0,10.0,0.0,,,,
ManaRamp,Gabe Walls,Standard,Worlds 2007 (New York),,,06/12/07,25.0,15.0,17.0,3.0,0.0,,,,
ManaRamp,Ervin Tormos,Standard,Worlds 2007 (New York),,,06/12/07,24.0,15.0,18.0,3.0,0.0,,,,
Mannequin,Sebastian Thaler,Standard,Worlds 2007 (New York),,,06/12/07,26.0,22.0,12.0,,0.0,,,,
Dragonstorm,Amiel Tenenbaum,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,24.0,8.0,0.0,,,,
Rock,Morris Sung,Standard,Worlds 2007 (New York),,,06/12/07,23.0,21.0,13.0,3.0,0.0,,,,
Mannequin,Helmut Summersberger,Standard,Worlds 2007 (New York),,,06/12/07,26.0,22.0,12.0,,0.0,,,,
Elves!,Terry Soh,Standard,Worlds 2007 (New York),,,06/12/07,21.0,26.0,10.0,3.0,0.0,,,,
Faeries,Jan Ruess,Standard,Worlds 2007 (New York),,,06/12/07,23.0,26.0,11.0,,0.0,,,,
Goblins,Jerome Renevier,Standard,Worlds 2007 (New York),,,06/12/07,24.0,27.0,9.0,,0.0,,,,
Mannequin,Jose Rodriguez Doy,Standard,Worlds 2007 (New York),,,06/12/07,25.0,23.0,10.0,2.0,0.0,,,,
ManaRamp,Gennari Raphael,Standard,Worlds 2007 (New York),,,06/12/07,23.0,16.0,13.0,8.0,0.0,,,,
Faeries,Nikolai Potovin,Standard,Worlds 2007 (New York),,,06/12/07,23.0,30.0,7.0,,0.0,,,,
Elves!,Ryo Ogura,Standard,Worlds 2007 (New York),,,06/12/07,23.0,24.0,10.0,3.0,0.0,,,,
ManaRamp w/ u,Tamas Nagy,Standard,Worlds 2007 (New York),,,06/12/07,23.0,16.0,14.0,7.0,0.0,,,,
Mannequin,Valentin Moskovich,Standard,Worlds 2007 (New York),,,06/12/07,26.0,24.0,10.0,,0.0,,,,
Elves!,Makihito Mihara,Standard,Worlds 2007 (New York),,,06/12/07,24.0,19.0,13.0,4.0,0.0,,,,
Faeries,Guillaume Matignon,Standard,Worlds 2007 (New York),,,06/12/07,23.0,33.0,4.0,,0.0,,,,
ManaRamp,Antti Malin,Standard,Worlds 2007 (New York),,,06/12/07,23.0,16.0,14.0,7.0,0.0,,,,
Rock,Alex Majlaton,Standard,Worlds 2007 (New York),,,06/12/07,22.0,24.0,9.0,5.0,0.0,,,,
Faeries,Zvi Mowshowitz,Standard,Worlds 2007 (New York),,,06/12/07,25.0,24.0,11.0,,0.0,,,,
Red Death,Georgias Kapalas,Standard,Worlds 2007 (New York),,,06/12/07,21.0,23.0,16.0,,0.0,,,,
Tarmo Rack,Cyric Kim,Standard,Worlds 2007 (New York),,,06/12/07,22.0,16.0,18.0,4.0,0.0,,,,
Mannequin,Masaya Kitayama,Standard,Worlds 2007 (New York),,,06/12/07,24.0,25.0,8.0,3.0,0.0,,,,
Rock,Chakorn Lapnimitchai,Standard,Worlds 2007 (New York),,,06/12/07,22.0,26.0,9.0,4.0,0.0,,,,
ManaRamp w/ u,Klaus Jons,Standard,Worlds 2007 (New York),,,06/12/07,23.0,21.0,10.0,6.0,0.0,,,,
Elves!,Junta Hirosawa,Standard,Worlds 2007 (New York),,,06/12/07,23.0,23.0,12.0,2.0,0.0,,,,
Faeries,Mark Herrin,Standard,Worlds 2007 (New York),,,06/12/07,23.0,26.0,7.0,4.0,0.0,,,,
ManaRamp,Mike Hron,Standard,Worlds 2007 (New York),,,06/12/07,25.0,15.0,16.0,4.0,0.0,,,,
Dragonstorm,Mark Herberholz,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,25.0,7.0,0.0,,,,
ManaRamp,Miguel Gatica,Standard,Worlds 2007 (New York),,,06/12/07,23.0,15.0,16.0,6.0,0.0,,,,
Dragonstorm,Jon Finkel,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,25.0,7.0,0.0,,,,
Dragonstorm,Thomas Drake,Standard,Worlds 2007 (New York),,,06/12/07,23.0,4.0,28.0,5.0,0.0,,,,
ManaRamp,Paul Cheon,Standard,Worlds 2007 (New York),,,06/12/07,24.0,14.0,18.0,4.0,0.0,,,,
ManaRamp,Marco Cammilluzzi,Standard,Worlds 2007 (New York),,,06/12/07,24.0,13.0,17.0,7.0,0.0,,,,
Rock,Matthew Chaud,Standard,Worlds 2007 (New York),,,06/12/07,24.0,21.0,10.0,5.0,0.0,,,,
Mannequin,Manuel Bucher,Standard,Worlds 2007 (New York),,,06/12/07,25.0,24.0,6.0,5.0,0.0,,,,
ManaRamp,Damien Buckley,Standard,Worlds 2007 (New York),,,06/12/07,23.0,16.0,18.0,3.0,0.0,,,,
ManaRamp,Armin Birner,Standard,Worlds 2007 (New York),,,06/12/07,23.0,17.0,14.0,6.0,0.0,,,,
Faeries,Leonid Bogachkin,Standard,Worlds 2007 (New York),,,06/12/07,23.0,30.0,7.0,,0.0,,,,
Faeries,Paulo Vitor Damo da Rosa,Standard,Worlds 2008 (Memphis),,5-8,14/12/08,26.0,15.0,15.0,4.0,0.0,,,,
